"Company","volume_of_traded_in_dollars","Year","total_volume_traded_yearly","total_volume_traded_yearly_dollar"
"AAPL",2266803533.28,"2019",45448000,2266803533.28
"AAPL",2301821282.124,"2018",50055600,2301821282.124
"AAPL",2313889681.6,"2017",62468000,2313889681.6
"AAPL",2340866027.948,"2017",56106800,2340866027.948
"AAPL",2382855389.772,"2017",64921200,2382855389.772
"AAPL",2390704745.984,"2017",64500400,2390704745.984
"AAPL",2408661690.104,"2017",65051600,2408661690.104
"AAPL",2446027099.592,"2017",65576800,2446027099.592
"AAPL",2467450895.328,"2018",55819200,2467450895.328
"AAPL",2486148493.376,"2017",65496800,2486148493.376
"AAPL",2515258446.336,"2017",67622400,2515258446.336
"AAPL",2543274119.98,"2017",68002000,2543274119.98
"AAPL",2569267758.96,"2017",69630400,2569267758.96
"AAPL",2586725701.084,"2017",66364400,2586725701.084
"AAPL",2636572823.808,"2017",65049600,2636572823.808
"AAPL",2651243718.016,"2017",71028800,2651243718.016
"AAPL",2689175092.824,"2017",65920800,2689175092.824
"AAPL",2729115747.288,"2017",65397600,2729115747.288
"AAPL",2733362161.824,"2017",74795200,2733362161.824
"AAPL",2742293290.168,"2018",60962800,2742293290.168
"AAPL",2760970860.216,"2018",60172400,2760970860.216
"AAPL",2775976963.416,"2019",58676400,2775976963.416
"AAPL",2799956154.6,"2019",56430000,2799956154.6
"AAPL",2810502002.464,"2019",55638400,2810502002.464
"AAPL",2817884006.46,"2017",67928400,2817884006.46
"AAPL",2859226631.32,"2018",62138000,2859226631.32
"AAPL",2868915594.948,"2019",68998800,2868915594.948
"AAPL",2893333350.432,"2019",68280800,2893333350.432
"AAPL",2897240988.292,"2017",75989200,2897240988.292
"AAPL",2916839998.464,"2018",63756400,2916839998.464
"AAPL",2941190267.344,"2017",80655200,2941190267.344
"AAPL",2945413769.76,"2018",63957600,2945413769.76
"AAPL",2949484945.876,"2017",77596400,2949484945.876
"AAPL",2959536593.008,"2018",66416800,2959536593.008
"AAPL",2999939327.64,"2017",79275600,2999939327.64
"AAPL",3000764657.008,"2018",65573600,3000764657.008
"AAPL",3053268411.648,"2019",59966400,3053268411.648
"AAPL",3060649158.912,"2019",46617600,3060649158.912
"AAPL",3096845864.064,"2018",69460800,3096845864.064
"AAPL",3108922318.96,"2018",69176000,3108922318.96
"AAPL",3120905661.524,"2018",74670800,3120905661.524
"AAPL",3126092596.728,"2018",67644400,3126092596.728
"AAPL",3129704114.36,"2018",66839600,3129704114.36
"AAPL",3139370576.64,"2017",83242400,3139370576.64
"AAPL",3143194138.056,"2017",85135200,3143194138.056
"AAPL",3152424387.308,"2017",84828400,3152424387.308
"AAPL",3153097980.032,"2019",75891200,3153097980.032
"AAPL",3159766578.384,"2018",69940800,3159766578.384
"AAPL",3165634599.84,"2018",69844000,3165634599.84
"AAPL",3178596549.184,"2017",77636800,3178596549.184
"AAPL",3180706227.216,"2019",75652800,3180706227.216
"AAPL",3190772968.072,"2018",70925200,3190772968.072
"AAPL",3205646811.4,"2017",88022000,3205646811.4
"AAPL",3209480121.536,"2019",63755200,3209480121.536
"AAPL",3262940584.02,"2017",87937200,3262940584.02
"AAPL",3277393267.408,"2018",73190800,3277393267.408
"AAPL",3280707768.488,"2017",86418400,3280707768.488
"AAPL",3287982651.624,"2017",87481200,3287982651.624
"AAPL",3297669200.736,"2018",78597600,3297669200.736
"AAPL",3313297808.436,"2018",72164400,3313297808.436
"AAPL",3319211379.264,"2018",73603200,3319211379.264
"AAPL",3331691712.356,"2017",86606800,3331691712.356
"AAPL",3350929411.744,"2019",67740800,3350929411.744
"AAPL",3354107286.88,"2018",73939600,3354107286.88
"AAPL",3360736472.94,"2017",87714000,3360736472.94
"AAPL",3360854921.668,"2017",88490800,3360854921.668
"AAPL",3363541148.22,"2017",81906000,3363541148.22
"AAPL",3365927647.18,"2018",73234000,3365927647.18
"AAPL",3366533668.704,"2019",67467200,3366533668.704
"AAPL",3368441527.712,"2019",78949600,3368441527.712
"AAPL",3369132334.74,"2018",74762000,3369132334.74
"AAPL",3385545600.492,"2019",48478800,3385545600.492
"AAPL",3394365596.472,"2019",67789600,3394365596.472
"AAPL",3396939027.888,"2019",70146400,3396939027.888
"AAPL",3401429141.86,"2018",75326000,3401429141.86
"AAPL",3420324769.136,"2018",82271200,3420324769.136
"AAPL",3439964146.944,"2017",82867200,3439964146.944
"AAPL",3441561811.66,"2019",69062000,3441561811.66
"AAPL",3446760097.8,"2019",92522400,3446760097.8
"AAPL",3458284768.8,"2019",83973600,3458284768.8
"AAPL",3459575724.192,"2019",73012800,3459575724.192
"AAPL",3469333267.972,"2018",74791600,3469333267.972
"AAPL",3470469868.328,"2018",76732400,3470469868.328
"AAPL",3491310668.608,"2019",70380800,3491310668.608
"AAPL",3497052001.548,"2017",83799600,3497052001.548
"AAPL",3498151846.952,"2017",85992800,3498151846.952
"AAPL",3529363849.64,"2019",75046000,3529363849.64
"AAPL",3531126985.152,"2019",83241600,3531126985.152
"AAPL",3531428368.512,"2019",72881600,3531428368.512
"AAPL",3532954683.104,"2019",70162400,3532954683.104
"AAPL",3534810969.3,"2018",83018000,3534810969.3
"AAPL",3548539759.096,"2019",74106400,3548539759.096
"AAPL",3549992156.412,"2019",71588400,3549992156.412
"AAPL",3554049707.46,"2017",87598000,3554049707.46
"AAPL",3560092476.304,"2017",95896400,3560092476.304
"AAPL",3561679196.96,"2018",76304000,3561679196.96
"AAPL",3572365173.884,"2019",70475600,3572365173.884
"AAPL",3574244165.904,"2017",95042800,3574244165.904
"AAPL",3588901184,"2018",86336000,3588901184
"AAPL",3619806622.792,"2018",79026400,3619806622.792
"AAPL",3626124558.228,"2019",87342800,3626124558.228
"AAPL",3632293015.392,"2018",80233600,3632293015.392
"AAPL",3633389980.992,"2018",86313600,3633389980.992
"AAPL",3636760881.484,"2019",76457200,3636760881.484
"AAPL",3665197279.38,"2017",96486000,3665197279.38
"AAPL",3692503202.976,"2019",84873600,3692503202.976
"AAPL",3698678876.564,"2018",82514800,3698678876.564
"AAPL",3700999459.872,"2019",74172800,3700999459.872
"AAPL",3702438287.26,"2019",89134000,3702438287.26
"AAPL",3702517542.984,"2018",89738400,3702517542.984
"AAPL",3704366962.356,"2019",74596400,3704366962.356
"AAPL",3704441458.608,"2018",89726400,3704441458.608
"AAPL",3705331211.664,"2019",87493600,3705331211.664
"AAPL",3721255480.24,"2019",89960800,3721255480.24
"AAPL",3721607915.688,"2019",74162400,3721607915.688
"AAPL",3738346466.256,"2017",102016800,3738346466.256
"AAPL",3741362442.24,"2019",73420800,3741362442.24
"AAPL",3742305184.528,"2018",81147200,3742305184.528
"AAPL",3758551628.048,"2018",83115200,3758551628.048
"AAPL",3761064775.02,"2019",101766000,3761064775.02
"AAPL",3772918586.624,"2017",93420800,3772918586.624
"AAPL",3805392581.4,"2018",82704800,3805392581.4
"AAPL",3812935748.448,"2019",83121600,3812935748.448
"AAPL",3817292508.456,"2018",91557200,3817292508.456
"AAPL",3839482833.18,"2018",84118000,3839482833.18
"AAPL",3852214813.368,"2017",105199200,3852214813.368
"AAPL",3853088410.512,"2018",73905600,3853088410.512
"AAPL",3857527485.5,"2017",94550000,3857527485.5
"AAPL",3865714865.02,"2019",77758000,3865714865.02
"AAPL",3871148786.432,"2017",101920400,3871148786.432
"AAPL",3891262215.056,"2018",90975200,3891262215.056
"AAPL",3894758002.776,"2019",67585200,3894758002.776
"AAPL",3903877719.072,"2017",93902400,3903877719.072
"AAPL",3903883618.368,"2018",83734400,3903883618.368
"AAPL",3913628933.344,"2017",95273600,3913628933.344
"AAPL",3925718332.032,"2018",75532800,3925718332.032
"AAPL",3929805631.44,"2017",105028400,3929805631.44
"AAPL",3932572696.612,"2019",76752400,3932572696.612
"AAPL",3939713366.04,"2017",105474000,3939713366.04
"AAPL",3940420832.64,"2018",94496000,3940420832.64
"AAPL",3945689771.344,"2018",76072400,3945689771.344
"AAPL",3946612888.8,"2019",95280000,3946612888.8
"AAPL",3949208900,"2018",94640000,3949208900
"AAPL",3960963838.492,"2019",73274800,3960963838.492
"AAPL",3963314186.436,"2019",104768400,3963314186.436
"AAPL",3963976083.564,"2018",86440400,3963976083.564
"AAPL",3967087315.968,"2018",86553600,3967087315.968
"AAPL",3970342673.024,"2018",85388800,3970342673.024
"AAPL",3975992375.832,"2019",80767200,3975992375.832
"AAPL",3983042022.616,"2018",95839600,3983042022.616
"AAPL",3984164411.072,"2019",108092800,3984164411.072
"AAPL",3984270850.26,"2017",104526000,3984270850.26
"AAPL",3984702891.68,"2017",103864000,3984702891.68
"AAPL",4007927231.52,"2018",86264000,4007927231.52
"AAPL",4021887907.444,"2019",84281200,4021887907.444
"AAPL",4024892402.88,"2018",95154000,4024892402.88
"AAPL",4028603978.868,"2018",95096400,4028603978.868
"AAPL",4034672570.664,"2019",95997600,4034672570.664
"AAPL",4035220773.44,"2019",80092000,4035220773.44
"AAPL",4041796591.44,"2019",82312000,4041796591.44
"AAPL",4042913642.752,"2019",83603200,4042913642.752
"AAPL",4045481512.8,"2019",77449200,4045481512.8
"AAPL",4046432924.78,"2018",90950800,4046432924.78
"AAPL",4047335806.44,"2017",97446000,4047335806.44
"AAPL",4050058253.9,"2017",99130000,4050058253.9
"AAPL",4057331038.6,"2019",75334000,4057331038.6
"AAPL",4067028975.324,"2018",90056400,4067028975.324
"AAPL",4072252252.984,"2019",90105200,4072252252.984
"AAPL",4074383975.18,"2019",83598800,4074383975.18
"AAPL",4079595915.576,"2019",84496800,4079595915.576
