Company,total_volume_trade_2017, total_volume_traded_yearly_dollar_2017,total_volume_traded_yearly_2018,total_volume_traded_yearly_dollar_2018,total_volume_traded_yearly__2019,total_volume_traded_yearly_dollar_2019,total_volume_traded_yearly_2020,total_volume_traded_yearly_dollar_2020,total_volume_traded_yearly_2021,total_volume_traded_yearly_dollar_2021,total_volume_traded_yearly_2022,total_volume_traded_yearly_dollar_2022,total_volume_traded_yearly,total_volume_traded_yearly_dollar
AAPL,11298476000,4.41E+11,34156144800,1.54E+12,28254942800,1.42E+12,39863855600,3.64E+12,22812206100,3.19E+12,13467443800,2.13E+12,1.50E+11,1.24E+13
AMZN,6806284000,3.59E+11,28357952000,2.30E+12,19493002000,1.73E+12,24950814000,3.30E+12,17076362000,2.86E+12,11952686500,1.61E+12,1.09E+11,1.22E+13
GOOGL,2696676000,1.33E+11,8744666000,4.83E+11,7125898000,4.22E+11,9571902000,6.94E+11,6371672000,7.80E+11,4615681100,5.75E+11,39126495100,3.09E+12
JP-MRGN,1256020200,1.07E+11,3809327400,3.70E+11,2965728900,3.04E+11,4865182000,4.70E+11,3252213700,4.86E+11,2240691400,2.95E+11,18389163600,2.03E+12
M-SOFT,2068708800,1.55E+11,7929137400,7.63E+11,6194410500,7.74E+11,9527876900,1.75E+12,6555279200,1.78E+12,4991313700,1.41E+12,37266726500,6.64E+12
NTFLX,662717600,1.24E+11,2878875800,9.21E+11,1980147700,6.45E+11,1754276900,7.73E+11,986504500,5.49E+11,1655167500,4.49E+11,9917690000,3.46E+12
NVDA,6059998400,2.79E+11,13756960800,7.67E+11,11501271600,4.86E+11,12165638000,1.16E+12,9060882200,1.84E+12,8083124700,1.70E+12,60627875700,6.23E+12
TSLA,2929950000,1.97E+11,10808194000,6.81E+11,11540242000,6.29E+11,19052912400,4.91E+12,6902690500,5.38E+12,4208889000,3.58E+12,55442877900,1.54E+13
VISA,729425400,76436737535,2147651800,2.77E+11,1904911500,3.09E+11,2462070000,4.60E+11,2201286600,4.79E+11,1190569900,2.51E+11,10635915200,1.85E+12
WLMART,921570400,74080327943,2376053100,2.04E+11,1522557600,1.55E+11,2292492800,2.87E+11,2098090600,2.91E+11,1300591600,1.77E+11,10511356100,1.19E+12
